:START_ID(disease)|:END_ID(symptoms)|type:STRING|name:STRING
3904|39873|症状|症状
1330|42578|症状|症状
4787|39371|症状|症状
1696|40257|症状|症状
5331|42620|症状|症状
5348|41226|症状|症状
1495|38421|症状|症状
1698|40664|症状|症状
1223|40785|症状|症状
7812|38847|症状|症状
8741|43355|症状|症状
8090|43162|症状|症状
375|40257|症状|症状
900|42663|症状|症状
2385|42744|症状|症状
4178|38985|症状|症状
4327|38604|症状|症状
4118|42436|症状|症状
267|40358|症状|症状
3391|42252|症状|症状
3686|43484|症状|症状
8345|41101|症状|症状
5728|42251|症状|症状
4967|39737|症状|症状
3549|43328|症状|症状
7317|40429|症状|症状
7782|40157|症状|症状
189|43361|症状|症状
3016|41272|症状|症状
1280|43943|症状|症状
3443|39303|症状|症状
831|40884|症状|症状
784|41321|症状|症状
1483|39439|症状|症状
6501|44078|症状|症状
1659|43213|症状|症状
4417|40994|症状|症状
8561|39605|症状|症状
705|42118|症状|症状
7035|38430|症状|症状
8010|40237|症状|症状
3709|44003|症状|症状
8689|41101|症状|症状
8326|41070|症状|症状
2862|41244|症状|症状
2991|43638|症状|症状
4451|41926|症状|症状
2169|40955|症状|症状
4084|40452|症状|症状
3124|43078|症状|症状
6559|41674|症状|症状
5638|43770|症状|症状
5549|40241|症状|症状
1163|38731|症状|症状
547|43114|症状|症状
245|40615|症状|症状
1403|41101|症状|症状
6706|40242|症状|症状
7935|42675|症状|症状
4186|40270|症状|症状
4431|43092|症状|症状
7645|38927|症状|症状
37|41101|症状|症状
406|41101|症状|症状
8729|38562|症状|症状
4575|40152|症状|症状
1747|43312|症状|症状
7501|43609|症状|症状
6966|40202|症状|症状
1079|39138|症状|症状
5546|38573|症状|症状
8721|42270|症状|症状
716|38371|症状|症状
3219|39255|症状|症状
696|39750|症状|症状
2177|43006|症状|症状
2927|41101|症状|症状
4709|40237|症状|症状
2932|43592|症状|症状
4776|41885|症状|症状
4907|41918|症状|症状
5530|41172|症状|症状
4571|41754|症状|症状
8042|39182|症状|症状
2279|40407|症状|症状
3770|40736|症状|症状
7856|40466|症状|症状
3538|40358|症状|症状
3578|40241|症状|症状
8725|41548|症状|症状
985|39379|症状|症状
5693|42251|症状|症状
6899|42251|症状|症状
4738|42147|症状|症状
4973|38712|症状|症状
391|39484|症状|症状
3039|38430|症状|症状
6390|43980|症状|症状
2735|42683|症状|症状
2211|40111|症状|症状
6773|40157|症状|症状
4265|42683|症状|症状
730|40909|症状|症状
1765|43069|症状|症状
473|39152|症状|症状
5275|41101|症状|症状
224|38615|症状|症状
2220|38766|症状|症状
4655|38446|症状|症状
7893|41101|症状|症状
8629|41960|症状|症状
2408|40813|症状|症状
4105|38927|症状|症状
6148|42043|症状|症状
3177|41340|症状|症状
1840|40589|症状|症状
6398|40448|症状|症状
5375|39314|症状|症状
6346|43554|症状|症状
836|43256|症状|症状
7493|44020|症状|症状
6388|43499|症状|症状
6304|38869|症状|症状
4318|38387|症状|症状
5581|40743|症状|症状
2178|41222|症状|症状
242|42433|症状|症状
1824|38544|症状|症状
2562|39224|症状|症状
4074|38405|症状|症状
4198|41732|症状|症状
5986|42170|症状|症状
8681|42360|症状|症状
585|43692|症状|症状
306|43803|症状|症状
2456|40763|症状|症状
156|40690|症状|症状
3243|40224|症状|症状
1951|42978|症状|症状
6261|40381|症状|症状
1212|38562|症状|症状
6358|38168|症状|症状
245|41943|症状|症状
3689|43213|症状|症状
4718|40202|症状|症状
7440|38780|症状|症状
2054|40200|症状|症状
6040|40237|症状|症状
1886|39794|症状|症状
1566|43288|症状|症状
291|42029|症状|症状
2246|43548|症状|症状
8204|43704|症状|症状
8327|43940|症状|症状
7909|41101|症状|症状
8751|40500|症状|症状
6967|40609|症状|症状
3099|42071|症状|症状
1328|39005|症状|症状
8307|44040|症状|症状
2534|43738|症状|症状
8184|41555|症状|症状
1630|40164|症状|症状
8098|38405|症状|症状
169|40241|症状|症状
4538|40795|症状|症状
6650|43277|症状|症状
6896|41614|症状|症状
8761|40443|症状|症状
1843|40513|症状|症状
2817|40348|症状|症状
7035|40062|症状|症状
2839|42675|症状|症状
544|40159|症状|症状
771|43964|症状|症状
2843|39654|症状|症状
4176|39012|症状|症状
29|40241|症状|症状
3142|40665|症状|症状
5453|43277|症状|症状
1317|42789|症状|症状
7597|40015|症状|症状
8564|38639|症状|症状
2734|42633|症状|症状
5091|40867|症状|症状
4841|38509|症状|症状
3299|42495|症状|症状
1152|38833|症状|症状
4682|42451|症状|症状
7321|40883|症状|症状
7333|42451|症状|症状
8521|43638|症状|症状
3804|40479|症状|症状
7512|41548|症状|症状
5169|43927|症状|症状
258|42054|症状|症状
4024|42843|症状|症状
2030|41083|症状|症状
6759|43355|症状|症状
8081|43483|症状|症状
44|40478|症状|症状
3993|40753|症状|症状
4543|40453|症状|症状
8587|41507|症状|症状
6686|40716|症状|症状
2847|43213|症状|症状
1374|44105|症状|症状
3697|40867|症状|症状
2489|40689|症状|症状
7292|39798|症状|症状
172|38179|症状|症状
682|41012|症状|症状
2079|41095|症状|症状
2519|41981|症状|症状
4805|42077|症状|症状
2965|39316|症状|症状
573|41943|症状|症状
5588|43958|症状|症状
8418|39960|症状|症状
7240|42575|症状|症状
2281|43109|症状|症状
4907|40909|症状|症状
2663|39388|症状|症状
3857|43312|症状|症状
5714|42674|症状|症状
7245|39298|症状|症状
3273|43845|症状|症状
4311|41083|症状|症状
2516|42775|症状|症状
2182|43329|症状|症状
6445|38967|症状|症状
1523|42310|症状|症状
2464|42003|症状|症状
1181|38360|症状|症状
7860|40885|症状|症状
3693|40348|症状|症状
6391|43213|症状|症状
7016|43362|症状|症状
4362|39233|症状|症状
332|39255|症状|症状
2868|43191|症状|症状
4579|42191|症状|症状
7964|43688|症状|症状
1739|39719|症状|症状
5621|38221|症状|症状
8444|40292|症状|症状
7627|43698|症状|症状
631|39358|症状|症状
1379|38755|症状|症状
2717|40416|症状|症状
2491|42276|症状|症状
1372|38755|症状|症状
1648|41918|症状|症状
4342|38634|症状|症状
8382|38265|症状|症状
4663|42446|症状|症状
8249|41135|症状|症状
4198|38235|症状|症状
4228|40408|症状|症状
8138|42696|症状|症状
7682|40285|症状|症状
2684|40224|症状|症状
414|41605|症状|症状
6427|42849|症状|症状
4266|38522|症状|症状
3531|40326|症状|症状
137|43156|症状|症状
5412|38912|症状|症状
251|41571|症状|症状
2871|43603|症状|症状
597|38430|症状|症状
2033|43092|症状|症状
5864|42280|症状|症状
4233|41095|症状|症状
8804|42526|症状|症状
7054|39750|症状|症状
1524|41325|症状|症状
7161|41789|症状|症状
4887|42696|症状|症状
5485|43213|症状|症状
2202|39009|症状|症状
8635|39677|症状|症状
6236|41439|症状|症状
5113|40462|症状|症状
2959|42043|症状|症状
1724|41580|症状|症状
2619|43213|症状|症状
6782|42674|症状|症状
3828|40488|症状|症状
1495|40519|症状|症状
4028|38794|症状|症状
437|38918|症状|症状
7840|40348|症状|症状
635|43341|症状|症状
1314|38656|症状|症状
6529|41244|症状|症状
7807|43355|症状|症状
7836|39290|症状|症状
1266|41186|症状|症状
6337|39257|症状|症状
255|39429|症状|症状
8020|38933|症状|症状
8486|41690|症状|症状
1325|43749|症状|症状
156|39694|症状|症状
206|42266|症状|症状
911|42302|症状|症状
2457|40241|症状|症状
4441|42246|症状|症状
5987|40649|症状|症状
5052|39597|症状|症状
4047|41829|症状|症状
2959|43148|症状|症状
3455|40903|症状|症状
5883|38524|症状|症状
6944|40209|症状|症状
865|39914|症状|症状
2427|42360|症状|症状
4699|38405|症状|症状
2687|42043|症状|症状
4849|43607|症状|症状
1069|43148|症状|症状
1713|43213|症状|症状
1384|38405|症状|症状
2415|42251|症状|症状
3755|43449|症状|症状
6549|43213|症状|症状
3917|38889|症状|症状
1732|42574|症状|症状
565|43213|症状|症状
5612|41495|症状|症状
3253|43137|症状|症状
490|42251|症状|症状
879|44020|症状|症状
2226|39991|症状|症状
2951|41964|症状|症状
4316|42817|症状|症状
5103|42093|症状|症状
3342|42823|症状|症状
4480|39751|症状|症状
4761|40360|症状|症状
310|40867|症状|症状
103|42436|症状|症状
3003|42683|症状|症状
3524|42416|症状|症状
4129|39694|症状|症状
5947|40994|症状|症状
3901|39694|症状|症状
8685|43340|症状|症状
3926|43582|症状|症状
7491|43594|症状|症状
7847|40909|症状|症状
7862|43340|症状|症状
148|40471|症状|症状
1086|40909|症状|症状
3942|39005|症状|症状
194|43733|症状|症状
6883|43462|症状|症状
7910|40513|症状|症状
1457|44003|症状|症状
3406|41615|症状|症状
8507|41054|症状|症状
8586|43138|症状|症状
2705|41444|症状|症状
3032|43147|症状|症状
8225|41885|症状|症状
4685|38509|症状|症状
3460|38860|症状|症状
3969|42041|症状|症状
4068|40785|症状|症状
5965|40241|症状|症状
8481|39418|症状|症状
3514|42954|症状|症状
149|43355|症状|症状
3639|38626|症状|症状
252|39634|症状|症状
4685|38290|症状|症状
5166|43704|症状|症状
87|43148|症状|症状
2800|43355|症状|症状
1169|39488|症状|症状
6649|42799|症状|症状
7271|38829|症状|症状
1930|42746|症状|症状
8014|40800|症状|症状
2593|38690|症状|症状
2627|42828|症状|症状
3737|42696|症状|症状
187|43313|症状|症状
1275|40082|症状|症状
117|43389|症状|症状
564|42240|症状|症状
2449|42696|症状|症状
1204|39478|症状|症状
4855|39642|症状|症状
8419|40909|症状|症状
1172|41101|症状|症状
8427|38990|症状|症状
7680|41480|症状|症状
252|43277|症状|症状
1050|43562|症状|症状
4051|40335|症状|症状
2731|43727|症状|症状
751|40625|症状|症状
7869|42114|症状|症状
6074|41976|症状|症状
5331|43143|症状|症状
6896|43148|症状|症状
3625|39364|症状|症状
2259|41943|症状|症状
6891|43213|症状|症状
673|41101|症状|症状
7890|42251|症状|症状
1402|40621|症状|症状
5835|38524|症状|症状
7000|43845|症状|症状
419|39709|症状|症状
4213|41101|症状|症状
3764|40241|症状|症状
7404|41885|症状|症状
6821|40348|症状|症状
622|41555|症状|症状
987|38222|症状|症状
3861|44037|症状|症状
6925|42492|症状|症状
1746|38573|症状|症状
8420|41992|症状|症状
2806|43927|症状|症状
5509|43213|症状|症状
4473|40348|症状|症状
503|40562|症状|症状
1663|41757|症状|症状
1620|42786|症状|症状
7853|44040|症状|症状
3892|38731|症状|症状
4400|43213|症状|症状
5778|39024|症状|症状
6391|40867|症状|症状
559|43256|症状|症状
305|40886|症状|症状
5278|40754|症状|症状
3125|41101|症状|症状
2531|43256|症状|症状
2962|40613|症状|症状
916|40701|症状|症状
5896|40242|症状|症状
6227|42147|症状|症状
5288|39255|症状|症状
819|38666|症状|症状
1290|41477|症状|症状
138|42897|症状|症状
5391|38927|症状|症状
2318|41101|症状|症状
3146|40200|症状|症状
1127|40456|症状|症状
8|39237|症状|症状
3174|40407|症状|症状
6360|38405|症状|症状
7798|40204|症状|症状
5636|40702|症状|症状
