:START_ID(disease)|:END_ID(drug)|type:STRING|name:STRING
7569|11755|好评药品|好评药品
3263|11398|好评药品|好评药品
400|8884|好评药品|好评药品
5889|11977|好评药品|好评药品
7303|12618|好评药品|好评药品
4097|11772|好评药品|好评药品
1942|11035|好评药品|好评药品
2338|11375|好评药品|好评药品
3656|11173|好评药品|好评药品
4403|11604|好评药品|好评药品
67|12400|好评药品|好评药品
5485|12240|好评药品|好评药品
7037|8888|好评药品|好评药品
1823|10267|好评药品|好评药品
6861|10590|好评药品|好评药品
7094|9246|好评药品|好评药品
7731|9126|好评药品|好评药品
8051|12200|好评药品|好评药品
944|11952|好评药品|好评药品
8327|10340|好评药品|好评药品
5558|11502|好评药品|好评药品
4835|10420|好评药品|好评药品
3989|11320|好评药品|好评药品
6237|10330|好评药品|好评药品
8387|11000|好评药品|好评药品
4405|10207|好评药品|好评药品
2318|9739|好评药品|好评药品
3186|12337|好评药品|好评药品
500|12152|好评药品|好评药品
1735|12254|好评药品|好评药品
7954|11220|好评药品|好评药品
2075|9944|好评药品|好评药品
2166|9759|好评药品|好评药品
2480|11441|好评药品|好评药品
4440|12159|好评药品|好评药品
7374|10868|好评药品|好评药品
7743|12492|好评药品|好评药品
2179|9856|好评药品|好评药品
6264|10251|好评药品|好评药品
5897|12609|好评药品|好评药品
7499|9004|好评药品|好评药品
8363|10325|好评药品|好评药品
7760|12595|好评药品|好评药品
2149|9257|好评药品|好评药品
3081|12427|好评药品|好评药品
437|10087|好评药品|好评药品
5826|9954|好评药品|好评药品
3640|11499|好评药品|好评药品
1942|9268|好评药品|好评药品
542|10579|好评药品|好评药品
6832|9756|好评药品|好评药品
7631|11662|好评药品|好评药品
2164|9641|好评药品|好评药品
2217|12275|好评药品|好评药品
445|9013|好评药品|好评药品
1729|10373|好评药品|好评药品
2765|11992|好评药品|好评药品
4717|12433|好评药品|好评药品
4974|10307|好评药品|好评药品
5004|9511|好评药品|好评药品
6368|11454|好评药品|好评药品
3271|9691|好评药品|好评药品
2647|12227|好评药品|好评药品
6979|11931|好评药品|好评药品
5047|10467|好评药品|好评药品
3005|8853|好评药品|好评药品
1278|10231|好评药品|好评药品
2988|12159|好评药品|好评药品
1909|10164|好评药品|好评药品
8717|10358|好评药品|好评药品
333|9337|好评药品|好评药品
4346|10525|好评药品|好评药品
6219|12134|好评药品|好评药品
385|12404|好评药品|好评药品
919|11017|好评药品|好评药品
3271|8850|好评药品|好评药品
7713|8972|好评药品|好评药品
5313|12191|好评药品|好评药品
5104|12275|好评药品|好评药品
7427|9520|好评药品|好评药品
5269|11434|好评药品|好评药品
7202|11945|好评药品|好评药品
4936|9384|好评药品|好评药品
5525|11638|好评药品|好评药品
3911|10319|好评药品|好评药品
2054|11970|好评药品|好评药品
5812|9535|好评药品|好评药品
5320|11430|好评药品|好评药品
950|10533|好评药品|好评药品
318|9754|好评药品|好评药品
4433|11980|好评药品|好评药品
8776|11125|好评药品|好评药品
3372|9312|好评药品|好评药品
436|9563|好评药品|好评药品
540|9920|好评药品|好评药品
